age,taille,sexe,niveau_activite,poids
48,155,Homme,Sédentaire,50.4
61,170,Femme,Actif,64.6
38,192,Femme,Sédentaire,75.6
24,181,Femme,Modéré,78.7
52,164,Femme,Modéré,74.3
17,183,Homme,Sédentaire,66.1
30,151,Femme,Modéré,38.8
48,165,Homme,Modéré,43.5
67,176,Femme,Sédentaire,66.7
28,187,Homme,Modéré,70.0
32,172,Homme,Actif,66.9
20,167,Homme,Modéré,62.5
20,148,Homme,Sédentaire,37.7
33,151,Homme,Actif,37.7
62,144,Femme,Actif,47.5
45,193,Femme,Modéré,83.5
49,191,Femme,Actif,75.6
33,193,Homme,Sédentaire,63.4
12,167,Femme,Actif,65.3
31,195,Homme,Modéré,98.2
62,174,Homme,Modéré,69.1
11,144,Femme,Actif,40.3
33,173,Femme,Sédentaire,66.2
53,185,Homme,Sédentaire,61.3
39,173,Homme,Modéré,75.3
47,152,Femme,Modéré,51.4
11,178,Femme,Sédentaire,52.9
69,181,Femme,Actif,69.1
30,184,Femme,Actif,79.2
42,187,Homme,Actif,73.4
21,197,Femme,Actif,82.2
67,153,Femme,Sédentaire,42.9
31,150,Femme,Modéré,53.3
53,181,Homme,Modéré,65.7
34,177,Homme,Actif,48.7
58,143,Homme,Sédentaire,42.7
36,192,Homme,Sédentaire,92.0
68,172,Femme,Actif,61.7
51,146,Homme,Actif,58.0
37,195,Femme,Actif,88.5
69,180,Femme,Modéré,74.6
25,147,Femme,Actif,46.7
24,176,Femme,Modéré,67.5
56,190,Homme,Sédentaire,76.6
60,149,Homme,Sédentaire,46.8
53,182,Homme,Modéré,78.1
64,196,Femme,Modéré,73.7
61,154,Femme,Modéré,44.5
66,177,Femme,Modéré,58.4
12,154,Femme,Actif,66.7
46,144,Femme,Sédentaire,48.9
60,168,Homme,Actif,64.7
16,158,Femme,Modéré,47.0
30,193,Homme,Actif,88.9
18,190,Femme,Actif,78.2
48,149,Femme,Sédentaire,50.3
27,151,Homme,Actif,43.5
13,193,Homme,Sédentaire,83.7
34,143,Femme,Modéré,42.4
69,170,Femme,Actif,56.9
23,157,Femme,Modéré,59.7
59,155,Femme,Sédentaire,41.8
67,179,Homme,Modéré,75.9
18,175,Femme,Modéré,73.7
35,164,Homme,Sédentaire,52.1
62,162,Femme,Modéré,51.3
11,151,Homme,Modéré,48.6
29,173,Homme,Modéré,68.4
37,175,Femme,Actif,66.0
56,176,Homme,Modéré,72.2
69,142,Femme,Sédentaire,55.0
16,148,Homme,Actif,44.9
53,192,Femme,Actif,62.1
17,157,Homme,Sédentaire,60.3
56,182,Femme,Modéré,89.6
44,174,Femme,Actif,70.2
23,196,Homme,Actif,72.0
26,194,Homme,Actif,81.4
45,173,Homme,Modéré,55.8
59,180,Homme,Actif,77.5
49,153,Femme,Sédentaire,42.0
13,143,Homme,Modéré,43.1
11,168,Femme,Sédentaire,53.6
15,180,Homme,Sédentaire,72.5
63,184,Femme,Actif,70.8
51,189,Femme,Actif,80.5
13,154,Femme,Actif,52.3
63,167,Femme,Sédentaire,53.1
38,181,Homme,Modéré,78.2
27,155,Homme,Actif,52.5
35,151,Femme,Actif,43.4
53,191,Homme,Sédentaire,104.8
43,144,Homme,Modéré,48.6
19,173,Femme,Sédentaire,64.5
45,181,Homme,Actif,86.0
23,140,Homme,Sédentaire,53.9
40,178,Homme,Actif,68.3
57,171,Femme,Modéré,67.4
24,165,Homme,Sédentaire,51.8
17,156,Femme,Actif,52.5
23,187,Homme,Actif,74.8
32,198,Homme,Actif,88.4
69,166,Homme,Actif,63.4
66,163,Femme,Sédentaire,62.9
49,174,Femme,Actif,68.8
30,185,Homme,Sédentaire,62.9
25,181,Femme,Actif,62.9
54,193,Homme,Sédentaire,75.8
27,178,Femme,Sédentaire,67.0
